Time;Output 1;Output 2;Output 3;Output 4
15:50:04;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:05;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:06;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:07;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:08;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:09;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:10;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:11;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:12;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:13;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:14;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:15;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:16;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:17;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:18;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:19;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:20;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:21;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:22;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:23;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:24;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:26;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:27;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:28;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:29;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:30;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
